prompt,completion
Generate a Math short answer question:,"Math – Short Answer Consider two lists of numbers, A and B, each with mean 10, that have a correlation coefficient r equal to 0.5. If all members of A are multiplied by 4 and all members of B are reduced by 7, what is the value of r for the two new lists?"
Generate a Math short answer question:,Math – Short Answer Simplify cosine open parenthesis x + π/3 close parenthesis + sine open parenthesis x + π/6 close parenthesis.
Generate a Chemistry multiple choice question:,"Chemistry – Multiple Choice In the Bohr model of the hydrogen atom, the energies of the allowed electronic states are inversely proportional to which of the following? W) Planck’s constant X) The spin quantum number Y) The principal quantum number Z) The square of the principal quantum number"
Generate a Chemistry multiple choice question:,"Chemistry – Multiple Choice Consider an arbitrary one-step polar reaction where an electrophile E and a nucleophile N react to form a single adduct. Let HOMO [hoe-moe] signify highest-occupied molecular orbital, and LUMO [lou-moe] signify lowest unoccupied molecular orbital. Which of the following is true? W) The HOMO of N interacts with the LUMO of E X) The HOMO of E interacts with the LUMO of N Y) The HOMO of N interacts with the HOMO of E Z) The LUMO of N interacts with the LUMO of E"
Generate a Physics short answer question:,"Physics – Short Answer What theorem states that the only properties a black hole possesses are charge, angular momentum, and mass?"
Generate a Physics short answer question:,"Physics – Short Answer The Young's modulus for bone is 9 x 109 newtons per meters squared. What is the percent change in length of a tibia with a cross sectional area of 6 centimeters squared, if it experiences a compressive force of 5.4 x 103 newtons?"
Generate a Energy multiple choice question:,Energy – Multiple Choice Which of the following sectors of natural gas production is projected to have the largest increase over the next 20 years? W) Shale gas X) Coal-bed methane Y) Onshore reserves Z) Offshore reserves
Generate a Energy multiple choice question:,Energy – Multiple Choice Which of the following stellar reactions would be the dominant pathway by which a star of similar mass as our Sun converts hydrogen to helium? W) Proton-proton chain X) Triple-alpha process Y) R-process Z) Silicon burning
Generate a Math short answer question:,"Math – Short Answer If f(x) equals the fraction with numerator 1 and denominator open parenthesis 2x – 1 close parenthesis cubed, which of the following is the numerator in the expression for the derivative of f with respect to x: W) -6 X) -3 Y) 1 Z) 2"
Generate a Math short answer question:,Math – Short Answer Evaluate the limit as x approaches 1 of x raised to the fraction with numerator 1 and denominator x – 1.
Generate a Physics short answer question:,Physics – Short Answer Identify all of the following three observations that implied that light is a form of electromagnetic radiation: 1) Michelson-Morley experiment; 2) Faraday effect; 3) Davisson-Germer experiment.
Generate a Physics short answer question:,"Physics – Short Answer Identify all of the following 3 statements that are true of polarization: 1) The transmitted intensity of the electromagnetic wave is inversely proportional to the square of the electric field; 2) The Brewster angle is the angle of incidence at which the reflected ray is 100% polarized along a plane parallel to the reflecting surface; 3) If a substance can rotate the plane of polarization, it is said to be optically active."
Generate a Biology short answer question:,"Biology – Short Answer What genetic analysis tool, freely available from the National Center for Biotechnology Information, allows visitors to compare DNA sequences for similarities?"
Generate a Biology short answer question:,Biology – Short Answer What type of microscopy uses a spatial pinhole and point illumination to eliminate out-of-focus light and is commonly used to visualize specimens thicker than the focal depth of the lens?
Generate a Chemistry short answer question:,Chemistry – Short Answer The elements of Group 15 can exist in several different oxidation states. What element can only exist in positive oxidation states?
Generate a Chemistry short answer question:,"Chemistry – Short Answer Order the following three species from the lowest to highest bond order in MO theory: 1) B , 2) B +, 3) B –. 2 2 2"
Generate a Math short answer question:,"Math – Short Answer While waiting at a train crossing, Gayle decided to time how long it took for a 1- mile long train to pass her directly. If it took exactly 75 seconds for the train to pass, at how many miles per hour was the train traveling?"
Generate a Math multiple choice question:,Math – Multiple Choice What is the inverse function of y = 1 over open parenthesis x + 3 close parenthesis? W) y = open parenthesis 1 – 3x close parenthesis divided by x X) y = x – 3 Y) y = 3 – 1/x Z) y = 3x – 1
Generate a Physics short answer question:,"Physics – Short Answer What is the equivalent capacitance in microfarads of four capacitors C1= 3 microfarads, C2= 5 microfarads, C3= 6 microfarads, and C4= 8 microfarads that are connected in parallel?"
Generate a Physics multiple choice question:,Physics – Multiple Choice Which of the following statements is true regarding entropy? W) The first law of thermodynamics defines entropy X) Entropy is a function of state and obeys Hess’s Law Y) Completely reversible processes increase entropy Z) Entropy can only be defined macroscopically
Generate a Chemistry short answer question:,"Chemistry – Short Answer In the Arrhenius equation, the exponential term is multiplied by a quantity, A, originally introduced as a fudge factor. What is the name of this term?"
Generate a Chemistry short answer question:,"Chemistry – Short Answer A sealed vessel contains 8 grams of oxygen gas and 12 grams of methane. If no other gases are present and the total pressure is 800 torr, what is the partial pressure, in torr, of oxygen?"
Generate a Biology short answer question:,Biology – Short Answer The nervous system consists of neurons and what other type of cell that is responsible for nourishing neurons?
Generate a Biology short answer question:,Biology – Short Answer What type of population selection would occur in an environment that is very close to its carrying capacity?
Generate a Energy short answer question:,"Energy – Short Answer What thermodynamic potential, symbolized by the letter U, is the sum of the heat added to a system and the work done on a system by its surroundings?"
